Sale_ID,Sale_Date,Customer_ID,Bike_Brand,Bike_Model,Bike_Category,Engine_CC,Ex_Showroom_Price,On_Road_Price,Customer_Age,Customer_Gender,Payment_Mode,State,City,Dealer_Name,Sale_Quantity
1,2025-01-31,5869,Bajaj,Dominar 250,Commuter,250cc,300976,326502,31,Male,Cash,Karnataka,Bangalore,Bali-Kakar Motors,2
2,2023-09-15,6175,Bajaj,Dominar 400,Cruiser,400cc+,271084,286220,47,Female,Cash,Maharashtra,Nagpur,Varughese PLC Motors,2
3,2023-10-20,5700,Honda,CBR 250R,Commuter,250cc,95757,123481,47,Female,Loan,Uttar Pradesh,Lucknow,Chatterjee-Ganesh Motors,2
4,2023-04-01,3136,Yamaha,MT-15,Commuter,150cc,114895,140340,39,Female,Cash,Uttar Pradesh,Lucknow,Singhal-Guha Motors,2
5,2024-08-23,9668,Yamaha,Fascino 125,Electric,125cc,286492,308813,30,Female,Cash,Rajasthan,Udaipur,Sachar LLC Motors,1
6,2024-11-08,2893,Suzuki,Gixxer SF 250,Sports,250cc,131397,146162,40,Male,EMI,Karnataka,Bangalore,Kadakia Group Motors,1
7,2023-05-27,2244,Royal Enfield,Hunter 350,Commuter,350cc,226829,251313,35,Female,EMI,Karnataka,Mysore,"Date, Madan and Date Motors",3
8,2023-11-10,4007,Honda,Hornet 2.0,Commuter,150cc,231233,238967,18,Female,Cash,Karnataka,Bangalore,Das LLC Motors,2
9,2024-03-06,6738,Honda,CB Unicorn 150,Commuter,150cc,340853,370827,32,Female,Loan,Maharashtra,Mumbai,Kulkarni LLC Motors,1
10,2023-05-22,5202,Royal Enfield,Himalayan 411,Adventure,400cc+,241462,250956,31,Female,Loan,Maharashtra,Mumbai,"Kothari, Dash and Thaman Motors",2
11,2024-08-24,3557,KTM,RC 390,Sports,400cc+,85152,107213,40,Male,Loan,West Bengal,Kolkata,Manda and Sons Motors,2
12,2024-01-17,3454,Honda,Hornet 2.0,Commuter,150cc,80983,107427,32,Female,EMI,Uttar Pradesh,Lucknow,"Basak, Bedi and Apte Motors",2
13,2024-07-01,3471,Royal Enfield,Classic 350,Cruiser,350cc,266784,289903,30,Male,Loan,Gujarat,Ahmedabad,Singh-Srivastava Motors,2
14,2023-11-22,1323,Yamaha,R15 V4,Sports,150cc,238306,265433,46,Male,Cash,Uttar Pradesh,Lucknow,Jha-Banerjee Motors,3
15,2023-12-01,2533,Yamaha,R15 V4,Sports,150cc,187138,193716,48,Male,Loan,Uttar Pradesh,Lucknow,Chander-Korpal Motors,3
16,2023-09-30,4474,Hero,Splendor Plus,Commuter,150cc,95313,110482,20,Female,Loan,Rajasthan,Udaipur,"Goda, Samra and Bumb Motors",1
17,2024-09-07,7855,Royal Enfield,Bullet 350,Cruiser,150cc,108533,130344,37,Male,Cash,Maharashtra,Pune,Manne-Mall Motors,1
18,2023-11-18,6822,TVS,RR 310,Sports,150cc,141389,168740,22,Female,EMI,Gujarat,Surat,Choudhry-Gade Motors,3
19,2023-07-11,9091,Suzuki,Access 125,Electric,125cc,214302,219830,36,Female,Loan,Tamil Nadu,Chennai,"Arya, Varghese and Ravel Motors",3
20,2023-03-03,4839,Honda,CB Unicorn 150,Commuter,150cc,95250,101593,43,Female,EMI,West Bengal,Siliguri,"Krishnamurthy, Wadhwa and Dhillon Motors",2
21,2023-03-31,6593,Royal Enfield,Meteor 350,Cruiser,350cc,115779,136712,26,Female,Loan,Uttar Pradesh,Kanpur,Malhotra PLC Motors,2
